tracking_id	shCtrl-1_0	shCtrl-2_0	shU-1_0	shU-2_0	Gene_ID	Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Chromosome/scaffold name
ENSMUSG00000029461.8	8.13659	8.54381	7.7591	10.0231	ENSMUSG00000029461	ENSMUSG00000029461	100706635	100841656	Fam168a	7
ENSMUSG00000029462.12	121.427	117.006	183.25	160.65200000000002	ENSMUSG00000029462	ENSMUSG00000029462	122354369	122364984	Vps29	5
ENSMUSG00000029463.5	21.3273	21.2985	32.6201	27.5778	ENSMUSG00000029463	ENSMUSG00000029463	122364580	122372364	Fam216a	5
ENSMUSG00000029464.4	23.7522	24.0565	19.7128	17.394000000000002	ENSMUSG00000029464	ENSMUSG00000029464	122371876	122382902	Gpn3	5
ENSMUSG00000029465.8	203.518	200.615	267.552	243.582	ENSMUSG00000029465	ENSMUSG00000029465	122391878	122414184	Arpc3	5
ENSMUSG00000029466.5	13.8292	14.1763	11.8584	10.8698	ENSMUSG00000029466	ENSMUSG00000029466	122421693	122444912	Anapc7	5
ENSMUSG00000029467.8	80.8972	81.0804	98.3349	93.4746	ENSMUSG00000029467	ENSMUSG00000029467	122453513	122502225	Atp2a2	5
ENSMUSG00000029468.10	0.117719	0.0485063	0.022610400000000003	0.0507657	ENSMUSG00000029468	ENSMUSG00000029468	122643911	122691432	P2rx7	5
ENSMUSG00000029469.8	27.5544	20.5654	22.717	19.2132	ENSMUSG00000029469	ENSMUSG00000029469	122550204	122614518	Ift81	5
ENSMUSG00000029470.8	29.6653	32.2874	26.2735	24.6914	ENSMUSG00000029470	ENSMUSG00000029470	122707544	122729738	P2rx4	5
ENSMUSG00000029471.8	7.19623	6.965889999999999	7.06117	7.56805	ENSMUSG00000029471	ENSMUSG00000029471	122731170	122779409	Camkk2	5
ENSMUSG00000029472.9	69.7737	73.3561	50.7694	48.0836	ENSMUSG00000029472	ENSMUSG00000029472	122787459	122821339	Anapc5	5
ENSMUSG00000029474.6	23.4852	24.7098	18.8498	18.2188	ENSMUSG00000029474	ENSMUSG00000029474	122850048	122871291	Rnf34	5
ENSMUSG00000029475.11	8.3986	7.649780000000001	4.11555	4.851719999999999	ENSMUSG00000029475	ENSMUSG00000029475	122870665	122989823	Kdm2b	5
ENSMUSG00000029477.8	0.0358036	0.0	0.0	0.0	ENSMUSG00000029477	ENSMUSG00000029477	123035769	123047016	Morn3	5
ENSMUSG00000029478.9	3.60019	2.85256	2.23798	5.25932	ENSMUSG00000029478	ENSMUSG00000029478	125017153	125179219	Ncor2	5
ENSMUSG00000029480.8	3.5651800000000002	3.2743	4.7209900000000005	5.0088	ENSMUSG00000029480	ENSMUSG00000029480	125413858	125434121	Dhx37	5
ENSMUSG00000029482.3	5.56269	5.66372	19.8932	18.4153	ENSMUSG00000029482	ENSMUSG00000029482	125475814	125517410	Aacs	5
ENSMUSG00000029484.8	398.70599999999996	394.224	812.028	770.926	ENSMUSG00000029484	ENSMUSG00000029484	96793339	96845966	Anxa3	5
ENSMUSG00000029486.7	20.8467	20.2166	27.0572	26.0772	ENSMUSG00000029486	ENSMUSG00000029486	96209493	96266727	Mrpl1	5
ENSMUSG00000029490.3	0.427828	0.304252	0.169043	0.183429	ENSMUSG00000029490	ENSMUSG00000029490	108441054	108448891	Mfsd7a	5
ENSMUSG00000029491.7	0.37706799999999996	0.307766	0.40565100000000004	0.35245	ENSMUSG00000029491	ENSMUSG00000029491	108388391	108432397	Pde6b	5
ENSMUSG00000029499.5	28.4556	28.6914	13.9805	13.4681	ENSMUSG00000029499	ENSMUSG00000029499	110274282	110286186	Pxmp2	5
ENSMUSG00000029500.10	20.6183	19.5577	35.499	32.5683	ENSMUSG00000029500	ENSMUSG00000029500	110259130	110269913	Pgam5	5
ENSMUSG00000029501.7	15.7892	15.7008	15.2986	15.1337	ENSMUSG00000029501	ENSMUSG00000029501	110231004	110256651	Ankle2	5
ENSMUSG00000029502.8	17.2798	20.176	18.6699	16.4655	ENSMUSG00000029502	ENSMUSG00000029502	110176701	110226470	Golga3	5
ENSMUSG00000029503.9	0.0219986	0.0	0.0	0.0470795	ENSMUSG00000029503	ENSMUSG00000029503	110339812	110343212	P2rx2	5
ENSMUSG00000029504.5	3.70139	4.5959900000000005	4.34901	3.6652099999999996	ENSMUSG00000029504	ENSMUSG00000029504	110653451	110660496	Ddx51	5
ENSMUSG00000029505.9	10.4663	17.4924	27.1287	30.4753	ENSMUSG00000029505	ENSMUSG00000029505	110664373	110770717	Ep400	5
ENSMUSG00000029507.9	27.5765	25.2361	23.2148	21.1859	ENSMUSG00000029507	ENSMUSG00000029507	110773667	110780659	Pus1	5
ENSMUSG00000029510.9	0.231776	0.222039	0.512864	0.31999299999999997	ENSMUSG00000029510	ENSMUSG00000029510	138273655	138280005	Gpc2	5
ENSMUSG00000029512.7	3.3214300000000003	3.44081	3.9531199999999997	5.67036	ENSMUSG00000029512	ENSMUSG00000029512	110784488	110810097	Ulk1	5
ENSMUSG00000029513.7	34.7456	35.4451	38.8668	40.8264	ENSMUSG00000029513	ENSMUSG00000029513	116013586	116024508	Prkab1	5
ENSMUSG00000029516.11	1.00663	1.43721	0.8203370000000001	0.454958	ENSMUSG00000029516	ENSMUSG00000029516	115845278	116008947	Cit	5
ENSMUSG00000029517.7	0.030522000000000004	0.0	0.0364589	0.0	ENSMUSG00000029517	ENSMUSG00000029517	18866318	18879586	Ankrd7	6
ENSMUSG00000029518.9	29.197	27.8804	35.0021	32.2636	ENSMUSG00000029518	ENSMUSG00000029518	115631908	115647736	Rab35	5
ENSMUSG00000029521.3	7.63858	7.6269100000000005	6.04068	5.4751	ENSMUSG00000029521	ENSMUSG00000029521	110839979	110874145	Chek2	5
ENSMUSG00000029522.6	0.297092	0.0	0.0	0.0	ENSMUSG00000029522	ENSMUSG00000029522	115466262	115474722	Pla2g1b	5
ENSMUSG00000029524.10	24.1204	24.324	14.3104	11.6295	ENSMUSG00000029524	ENSMUSG00000029524	115478010	115484725	Sirt4	5
ENSMUSG00000029526.1	0.0	0.0	0.0	0.0	ENSMUSG00000029526	ENSMUSG00000029526	138561840	138564712	1700123K08Rik	5
ENSMUSG00000029528.11	41.049	43.4031	53.4081	56.3155	ENSMUSG00000029528	ENSMUSG00000029528	115506676	115555987	Pxn	5
ENSMUSG00000029530.8	0.124778	0.13856	0.0401518	0.0265353	ENSMUSG00000029530	ENSMUSG00000029530	123678439	123784330	Ccr9	9
ENSMUSG00000029534.11	10.6997	12.2055	11.8054	11.8605	ENSMUSG00000029534	ENSMUSG00000029534	17692933	17943025	St7	6
ENSMUSG00000029535.4	33.1338	33.9506	37.3943	28.8201	ENSMUSG00000029535	ENSMUSG00000029535	115341225	115343569	Triap1	5
ENSMUSG00000029536.6	4.99346	5.01955	5.35199	6.02111	ENSMUSG00000029536	ENSMUSG00000029536	115333239	115341178	Gatc	5
ENSMUSG00000029538.7	31.3297	28.0393	27.8158	22.4147	ENSMUSG00000029538	ENSMUSG00000029538	115327177	115333080	Srsf9	5
ENSMUSG00000029541.8	0.0	0.0	0.0	0.0	ENSMUSG00000029541	ENSMUSG00000029541	139352617	139357033	Cyp2w1	5
ENSMUSG00000029544.9	0.0633096	0.0	0.0	0.0	ENSMUSG00000029544	ENSMUSG00000029544	115168689	115194381	Cabp1	5
ENSMUSG00000029545.7	49.4343	53.4699	49.3941	43.4653	ENSMUSG00000029545	ENSMUSG00000029545	115110299	115119346	Acads	5
ENSMUSG00000029546.10	0.0	0.0	0.0	0.0	ENSMUSG00000029546	ENSMUSG00000029546	139543494	139548179	Uncx	5
ENSMUSG00000029547.6	6.9511	7.98377	7.45625	7.853269999999999	ENSMUSG00000029547	ENSMUSG00000029547	139751282	139775674	Ints1	5
ENSMUSG00000029550.8	23.2557	28.9248	24.3439	34.0847	ENSMUSG00000029550	ENSMUSG00000029550	115011137	115098790	Sppl3	5
ENSMUSG00000029551.6	14.9882	15.0855	12.5655	11.7201	ENSMUSG00000029551	ENSMUSG00000029551	139823592	139826885	Psmg3	5
ENSMUSG00000029552.12	211.737	211.735	267.944	242.87599999999998	ENSMUSG00000029552	ENSMUSG00000029552	17065149	17105828	Tes	6
ENSMUSG00000029553.7	0.019024400000000004	0.0	0.0	0.0	ENSMUSG00000029553	ENSMUSG00000029553	16833373	16898441	Tfec	6
ENSMUSG00000029554.8	13.8819	14.2174	9.67705	9.58687	ENSMUSG00000029554	ENSMUSG00000029554	140008689	140321552	Mad1l1	5
ENSMUSG00000029556.4	4.978	5.24643	4.772959999999999	4.2005099999999995	ENSMUSG00000029556	ENSMUSG00000029556	114948980	114971094	Hnf1a	5
ENSMUSG00000029557.7	6.52281	6.1860599999999994	5.6615	5.06801	ENSMUSG00000029557	ENSMUSG00000029557	140327674	140331898	Mrm2	5
ENSMUSG00000029559.8	14.835	15.6787	14.6795	12.9115	ENSMUSG00000029559	ENSMUSG00000029559	114942158	114949783	2210016L21Rik	5
ENSMUSG00000029560.7	16.6762	18.5115	23.9905	23.2342	ENSMUSG00000029560	ENSMUSG00000029560	140340299	140389262	Snx8	5
ENSMUSG00000029561.10	0.611001	1.07102	0.0	0.0	ENSMUSG00000029561	ENSMUSG00000029561	114896936	114912234	Oasl2	5
ENSMUSG00000029563.10	0.0475358	0.0285227	0.0	0.0226492	ENSMUSG00000029563	ENSMUSG00000029563	14901349	15441977	Foxp2	6
ENSMUSG00000029564.6	0.0	0.0	0.0	0.0	ENSMUSG00000029564	ENSMUSG00000029564	114853664	114883880	4930519G04Rik	5
ENSMUSG00000029569.3	19.5082	19.685	13.1266	12.8997	ENSMUSG00000029569	ENSMUSG00000029569	13580687	13608100	Tmem168	6
ENSMUSG00000029570.1	2.4598299999999997	2.49349	5.715730000000001	5.72086	ENSMUSG00000029570	ENSMUSG00000029570	140607320	140615545	Lfng	5
ENSMUSG00000029571.8	229.71400000000003	222.02700000000002	121.792	121.65100000000001	ENSMUSG00000029571	ENSMUSG00000029571	13069759	13089269	Tmem106b	6
ENSMUSG00000029575.10	6.35729	6.940930000000001	5.04891	4.63725	ENSMUSG00000029575	ENSMUSG00000029575	114431034	114444060	Mmab	5
ENSMUSG00000029576.11	0.217489	0.180558	0.9811860000000001	0.5011359999999999	ENSMUSG00000029576	ENSMUSG00000029576	142484839	142551098	Radil	5
ENSMUSG00000029577.7	17.2044	18.5904	19.7225	20.2429	ENSMUSG00000029577	ENSMUSG00000029577	114380607	114421169	Ube3b	5
ENSMUSG00000029578.9	41.8439	40.1797	49.7781	45.1729	ENSMUSG00000029578	ENSMUSG00000029578	142627698	142670588	Wipi2	5
ENSMUSG00000029580.7	2452.44	2464.2	2633.5	2717.77	ENSMUSG00000029580	ENSMUSG00000029580	142903115	142906754	Actb	5
ENSMUSG00000029581.8	0.519039	0.283966	0.3167	0.9188850000000001	ENSMUSG00000029581	ENSMUSG00000029581	142960343	142973185	Fscn1	5
ENSMUSG00000029586.3	0.0	0.0	0.0	0.0	ENSMUSG00000029586	ENSMUSG00000029586	143181017	143205075	Spdye4b	5
ENSMUSG00000029587.10	12.6131	12.448	10.921	10.7375	ENSMUSG00000029587	ENSMUSG00000029587	143235163	143248834	Zfp12	5
ENSMUSG00000029591.8	3.9147	3.27635	1.30834	1.16455	ENSMUSG00000029591	ENSMUSG00000029591	114130386	114139323	Ung	5
ENSMUSG00000029592.7	7.56681	8.052760000000001	8.40967	9.233789999999999	ENSMUSG00000029592	ENSMUSG00000029592	114065461	114124720	Usp30	5
ENSMUSG00000029594.8	8.44922	8.30713	16.4674	16.4171	ENSMUSG00000029594	ENSMUSG00000029594	120116465	120198981	Rbm19	5
ENSMUSG00000029595.5	0.15326900000000002	0.0526716	0.153649	0.25003000000000003	ENSMUSG00000029595	ENSMUSG00000029595	120431699	120441223	Lhx5	5
ENSMUSG00000029596.7	30.6526	27.7052	12.3375	12.7142	ENSMUSG00000029596	ENSMUSG00000029596	120458186	120472810	Sdsl	5
ENSMUSG00000029597.8	0.120171	0.265474	0.0717575	0.0	ENSMUSG00000029597	ENSMUSG00000029597	120476526	120483932	Sds	5
ENSMUSG00000029598.6	18.1044	19.0695	19.8337	22.7765	ENSMUSG00000029598	ENSMUSG00000029598	120483282	120503625	Plbd2	5
ENSMUSG00000029599.9	34.0111	35.1088	57.1443	51.4279	ENSMUSG00000029599	ENSMUSG00000029599	120612739	120628592	Ddx54	5
ENSMUSG00000029600.3	7.60582	7.911060000000001	11.9495	11.0095	ENSMUSG00000029600	ENSMUSG00000029600	120594305	120612589	Rita1	5
ENSMUSG00000029601.7	1.35604	1.1418700000000002	1.0474299999999999	1.06345	ENSMUSG00000029601	ENSMUSG00000029601	120589016	120607118	Iqcd	5
ENSMUSG00000029602.5	0.0892235	0.310136	0.208331	0.0116582	ENSMUSG00000029602	ENSMUSG00000029602	120648812	120679597	Rasal1	5
ENSMUSG00000029603.9	0.268307	0.212817	0.0	0.0	ENSMUSG00000029603	ENSMUSG00000029603	120680202	120711927	Dtx1	5
ENSMUSG00000029605.8	1.37737	1.41993	0.414576	0.45627399999999996	ENSMUSG00000029605	ENSMUSG00000029605	120812635	120824163	Oas1b	5
ENSMUSG00000029607.8	0.664138	0.532209	0.421782	0.6746449999999999	ENSMUSG00000029607	ENSMUSG00000029607	143890741	143897685	Ankrd61	5
ENSMUSG00000029608.7	0.0	0.0	0.0	0.0	ENSMUSG00000029608	ENSMUSG00000029608	120940499	121010092	Rph3a	5
ENSMUSG00000029610.7	30.3128	30.055999999999997	34.6121	35.0397	ENSMUSG00000029610	ENSMUSG00000029610	143902704	143909847	Aimp2	5
ENSMUSG00000029613.9	8.19525	7.713019999999999	10.6922	12.4099	ENSMUSG00000029613	ENSMUSG00000029613	143817788	143904251	Eif2ak1	5
ENSMUSG00000029614.9	387.315	400.79400000000004	535.873	503.158	ENSMUSG00000029614	ENSMUSG00000029614	121204481	121209241	Rpl6	5
ENSMUSG00000029616.9	66.8971	67.6128	39.937	37.7902	ENSMUSG00000029616	ENSMUSG00000029616	121428590	121452506	Erp29	5
ENSMUSG00000029617.9	43.2765	42.6279	56.7656	46.8112	ENSMUSG00000029617	ENSMUSG00000029617	143987909	144014877	Ccz1	5
ENSMUSG00000029618.7	0.0	0.0777115	0.0	0.0	ENSMUSG00000029618	ENSMUSG00000029618	144019804	144026670	Ocm	5
ENSMUSG00000029620.3	0.0	0.0	0.0	0.0	ENSMUSG00000029620	ENSMUSG00000029620	145042990	145045681	1700018F24Rik	5
ENSMUSG00000029621.8	59.5224	59.0732	101.307	103.725	ENSMUSG00000029621	ENSMUSG00000029621	145083830	145108761	Arpc1a	5
ENSMUSG00000029622.10	88.2856	86.1208	135.455	131.11700000000002	ENSMUSG00000029622	ENSMUSG00000029622	145114215	145130705	Arpc1b	5
ENSMUSG00000029623.8	68.7744	58.0999	96.0344	89.9332	ENSMUSG00000029623	ENSMUSG00000029623	145128769	145140238	Pdap1	5
ENSMUSG00000029624.9	10.8745	9.723289999999999	10.1068	9.18315	ENSMUSG00000029624	ENSMUSG00000029624	145147514	145167108	Ptcd1	5
ENSMUSG00000029625.9	25.8129	28.1681	27.4086	30.2808	ENSMUSG00000029625	ENSMUSG00000029625	145167213	145182041	Cpsf4	5
ENSMUSG00000029627.10	9.50873	7.927689999999999	7.34262	7.182860000000001	ENSMUSG00000029627	ENSMUSG00000029627	145194946	145201868	Zkscan14	5
ENSMUSG00000029629.10	46.4789	44.9538	44.75899999999999	38.83	ENSMUSG00000029629	ENSMUSG00000029629	11907809	12081205	Phf14	6
ENSMUSG00000029630.9	0.035013699999999995	0.0392185	0.0	0.0	ENSMUSG00000029630	ENSMUSG00000029630	145977194	146009618	Cyp3a25	5
ENSMUSG00000029632.5	1194.95	1235.46	1065.37	904.268	ENSMUSG00000029632	ENSMUSG00000029632	11900292	11907497	Ndufa4	6
ENSMUSG00000029633.9	17.2488	16.0461	30.451999999999998	31.6389	ENSMUSG00000029633	ENSMUSG00000029633	112605544	112606779	Gm5578	6
ENSMUSG00000029634.8	55.8488	57.7106	70.6351	60.6764	ENSMUSG00000029634	ENSMUSG00000029634	146209192	146221555	Rnf6	5
ENSMUSG00000029635.9	17.4811	17.0319	16.4543	18.7025	ENSMUSG00000029635	ENSMUSG00000029635	146231230	146302874	Cdk8	5
ENSMUSG00000029636.7	0.0	0.0	0.018603599999999998	0.0	ENSMUSG00000029636	ENSMUSG00000029636	146384985	146473615	Wasf3	5
ENSMUSG00000029638.10	0.202651	0.285997	0.21773	0.396395	ENSMUSG00000029638	ENSMUSG00000029638	8509600	8597548	Glcci1	6
ENSMUSG00000029640.10	14.1322	14.4403	17.4247	15.4506	ENSMUSG00000029640	ENSMUSG00000029640	146734809	146795006	Usp12	5
ENSMUSG00000029641.7	0.8508969999999999	0.849541	1.17391	1.7974400000000001	ENSMUSG00000029641	ENSMUSG00000029641	146845071	146847726	Rasl11a	5
ENSMUSG00000029642.7	102.395	96.0146	151.17600000000002	136.155	ENSMUSG00000029642	ENSMUSG00000029642	147077050	147111597	Polr1d	5
ENSMUSG00000029644.6	0.12306700000000001	0.0564693	0.00855963	0.0	ENSMUSG00000029644	ENSMUSG00000029644	147269959	147275848	Pdx1	5
ENSMUSG00000029646.3	0.0	0.0162537	0.034477	0.0	ENSMUSG00000029646	ENSMUSG00000029646	147300805	147307270	Cdx2	5
ENSMUSG00000029647.7	16.8424	17.6875	19.8337	21.079	ENSMUSG00000029647	ENSMUSG00000029647	147430161	147548502	Pan3	5
ENSMUSG00000029648.7	0.152364	0.21310199999999999	1.3665100000000001	1.3059	ENSMUSG00000029648	ENSMUSG00000029648	147561604	147726011	Flt1	5
ENSMUSG00000029649.7	154.863	151.829	156.273	126.62100000000001	ENSMUSG00000029649	ENSMUSG00000029649	147860461	147876456	Pomp	5
ENSMUSG00000029650.4	0.625971	0.9830909999999999	0.692952	0.472232	ENSMUSG00000029650	ENSMUSG00000029650	147878437	147894815	Slc46a3	5
ENSMUSG00000029651.9	0.0	0.0	0.00971188	0.00482028	ENSMUSG00000029651	ENSMUSG00000029651	147957320	148316065	Mtus2	5
ENSMUSG00000029655.11	54.3854	55.9822	58.1031	65.6941	ENSMUSG00000029655	ENSMUSG00000029655	150608007	150666183	N4bp2l2	5
ENSMUSG00000029656.7	0.0217107	0.0	0.0	0.0	ENSMUSG00000029656	ENSMUSG00000029656	104766317	104804548	C8b	4
ENSMUSG00000029657.8	17.6427	17.6678	28.8042	24.5501	ENSMUSG00000029657	ENSMUSG00000029657	149614287	149636376	Hsph1	5
ENSMUSG00000029658.10	0.0	0.0	0.0	0.0	ENSMUSG00000029658	ENSMUSG00000029658	149528679	149611894	Wdr95	5
ENSMUSG00000029659.9	0.0	0.0	0.0	0.014272299999999998	ENSMUSG00000029659	ENSMUSG00000029659	149411749	149431723	Medag	5
ENSMUSG00000029660.6	0.0	0.0	0.0	0.0	ENSMUSG00000029660	ENSMUSG00000029660	149439660	149470979	Tex26	5
ENSMUSG00000029661.9	0.0	0.0	0.0	0.0	ENSMUSG00000029661	ENSMUSG00000029661	4504814	4541544	Col1a2	6
ENSMUSG00000029663.5	0.0	0.0	0.0	0.0	ENSMUSG00000029663	ENSMUSG00000029663	3993792	3997436	Gngt1	6
ENSMUSG00000029664.7	0.0	0.0	0.0	0.0	ENSMUSG00000029664	ENSMUSG00000029664	3962595	3988919	Tfpi2	6
ENSMUSG00000029669.7	67.4542	59.8081	46.1943	37.0578	ENSMUSG00000029669	ENSMUSG00000029669	21771395	21852515	Tspan12	6
ENSMUSG00000029670.6	15.9942	17.863	15.423	14.8856	ENSMUSG00000029670	ENSMUSG00000029670	21949571	21976038	Ing3	6
ENSMUSG00000029671.8	0.0801763	0.0794835	0.0632462	0.06286	ENSMUSG00000029671	ENSMUSG00000029671	22288227	22298522	Wnt16	6
ENSMUSG00000029672.9	46.1604	41.9731	23.985	23.9506	ENSMUSG00000029672	ENSMUSG00000029672	22306520	22356243	Fam3c	6
ENSMUSG00000029673.9	1.0485200000000001	1.1038299999999999	0.6181770000000001	0.65857	ENSMUSG00000029673	ENSMUSG00000029673	131437333	132543344	Auts2	5
ENSMUSG00000029674.6	2.37815	2.0611200000000003	2.67178	3.38841	ENSMUSG00000029674	ENSMUSG00000029674	134656039	134688598	Limk1	5
ENSMUSG00000029675.9	0.0	0.0	0.0	0.0	ENSMUSG00000029675	ENSMUSG00000029675	134702593	134747323	Eln	5
ENSMUSG00000029676.8	10.3574	12.3574	16.2283	15.1048	ENSMUSG00000029676	ENSMUSG00000029676	25743737	25809246	Pot1a	6
ENSMUSG00000029678.4	0.0	0.0183545	0.0	0.0	ENSMUSG00000029678	ENSMUSG00000029678	24857997	24891958	Hyal5	6
ENSMUSG00000029679.6	0.0	0.0	0.0	0.0	ENSMUSG00000029679	ENSMUSG00000029679	24733245	24745452	Hyal6	6
ENSMUSG00000029680.2	0.0	0.0	0.0	0.0	ENSMUSG00000029680	ENSMUSG00000029680	24748329	24767662	Hyal4	6
ENSMUSG00000029681.6	18.4765	18.5149	17.6293	15.5602	ENSMUSG00000029681	ENSMUSG00000029681	135168283	135181855	Bcl7b	5
ENSMUSG00000029682.2	0.0	0.0	0.0	0.0	ENSMUSG00000029682	ENSMUSG00000029682	24791188	24801048	Spam1	6
ENSMUSG00000029683.6	0.118845	0.0380224	0.0	0.160549	ENSMUSG00000029683	ENSMUSG00000029683	24597762	24605414	Lmod2	6
ENSMUSG00000029684.8	18.9713	20.0065	20.6271	23.8467	ENSMUSG00000029684	ENSMUSG00000029684	24613805	24665009	Wasl	6
ENSMUSG00000029685.8	0.063411	0.124795	0.0565366	0.0562681	ENSMUSG00000029685	ENSMUSG00000029685	24528144	24573164	Asb15	6
ENSMUSG00000029686.9	93.736	99.8172	127.227	118.588	ENSMUSG00000029686	ENSMUSG00000029686	47453398	47526139	Cul1	6
ENSMUSG00000029687.9	23.4966	24.2062	25.3074	20.5519	ENSMUSG00000029687	ENSMUSG00000029687	47530139	47595341	Ezh2	6
ENSMUSG00000029695.7	0.025566299999999997	0.0190054	0.0100822	0.0	ENSMUSG00000029695	ENSMUSG00000029695	23072173	23132986	Aass	6
ENSMUSG00000029697.5	0.0	0.0	0.0	0.0	ENSMUSG00000029697	ENSMUSG00000029697	23245044	23248362	Fezf1	6
ENSMUSG00000029699.7	5.01619	3.6019	4.81377	4.98081	ENSMUSG00000029699	ENSMUSG00000029699	135960211	135974531	Ssc4d	5
ENSMUSG00000029700.9	0.0	0.0	0.016387799999999998	0.0163034	ENSMUSG00000029700	ENSMUSG00000029700	24088283	24168092	Slc13a1	6
ENSMUSG00000029701.9	27.9789	25.9388	51.5189	46.6511	ENSMUSG00000029701	ENSMUSG00000029701	29123576	29165006	Rbm28	6
ENSMUSG00000029703.4	11.8844	10.81	12.1358	11.5698	ENSMUSG00000029703	ENSMUSG00000029703	136122772	136136074	Lrwd1	5
ENSMUSG00000029705.8	26.9603	26.9944	30.1851	31.0762	ENSMUSG00000029705	ENSMUSG00000029705	136248135	136567490	Cux1	5
ENSMUSG00000029706.8	0.0	0.0	0.0	0.0	ENSMUSG00000029706	ENSMUSG00000029706	28442334	28449353	Pax4	6
ENSMUSG00000029707.6	0.0881684	0.039504199999999996	0.0	0.10426300000000001	ENSMUSG00000029707	ENSMUSG00000029707	28427789	28438622	Fscn3	6
ENSMUSG00000029708.9	20.0697	19.9563	11.0145	11.584000000000001	ENSMUSG00000029708	ENSMUSG00000029708	28416091	28428390	Gcc1	6
ENSMUSG00000029710.9	21.4617	21.9631	18.8659	18.6013	ENSMUSG00000029710	ENSMUSG00000029710	137350109	137378669	Ephb4	5
ENSMUSG00000029711.6	0.0	0.0	0.0	0.0	ENSMUSG00000029711	ENSMUSG00000029711	137483020	137533242	Epo	5
ENSMUSG00000029712.8	0.0	0.0	0.0	0.0	ENSMUSG00000029712	ENSMUSG00000029712	137553517	137569582	Actl6b	5
ENSMUSG00000029713.9	180.15	193.03	244.71599999999998	223.89	ENSMUSG00000029713	ENSMUSG00000029713	137528127	137533510	Gnb2	5
ENSMUSG00000029714.7	3.7475099999999997	3.6726	3.8300300000000003	5.6463	ENSMUSG00000029714	ENSMUSG00000029714	137518548	137527935	Gigyf1	5
ENSMUSG00000029715.5	19.1572	19.8762	19.1643	18.8423	ENSMUSG00000029715	ENSMUSG00000029715	137501438	137502518	Pop7	5
ENSMUSG00000029716.8	18.0001	17.7948	1.0646	1.38124	ENSMUSG00000029716	ENSMUSG00000029716	137569840	137587481	Tfr2	5
ENSMUSG00000029718.8	9.63078	11.8335	4.10475	4.799169999999999	ENSMUSG00000029718	ENSMUSG00000029718	137605103	137613784	Pcolce	5
ENSMUSG00000029720.8	4.19925	3.8766800000000003	3.49879	5.12608	ENSMUSG00000029720	ENSMUSG00000029720	137629175	137642899	Gm20605	5
ENSMUSG00000029722.9	13.0555	12.8983	3.8620900000000002	3.86864	ENSMUSG00000029722	ENSMUSG00000029722	137650463	137684726	Agfg2	5
ENSMUSG00000029723.9	10.0256	10.4539	10.2327	14.1236	ENSMUSG00000029723	ENSMUSG00000029723	137745730	137768450	Tsc22d4	5
ENSMUSG00000029725.4	23.415	22.1679	20.0956	19.227999999999998	ENSMUSG00000029725	ENSMUSG00000029725	137778849	137780110	Ppp1r35	5
ENSMUSG00000029726.10	13.2239	15.0308	15.5954	16.9083	ENSMUSG00000029726	ENSMUSG00000029726	137781906	137787655	Mepce	5
ENSMUSG00000029727.7	13.9647	14.1491	15.2538	17.0557	ENSMUSG00000029727	ENSMUSG00000029727	137892932	137921619	Cyp3a13	5
ENSMUSG00000029729.6	17.2251	17.295	22.6269	24.5841	ENSMUSG00000029729	ENSMUSG00000029729	138085084	138107822	Zkscan1	5
ENSMUSG00000029730.10	72.8067	73.5377	92.0567	79.0831	ENSMUSG00000029730	ENSMUSG00000029730	138164583	138172422	Mcm7	5
ENSMUSG00000029735.10	24.5568	26.5205	19.7082	22.5601	ENSMUSG00000029735	ENSMUSG00000029735	43345001	43666278	Tpk1	6
ENSMUSG00000029736.8	0.07171260000000002	0.0408837	0.0	0.0	ENSMUSG00000029736	ENSMUSG00000029736	43303674	43309554	Nobox	6
ENSMUSG00000029752.6	104.98700000000001	110.795	267.749	255.572	ENSMUSG00000029752	ENSMUSG00000029752	7675169	7693254	Asns	6
ENSMUSG00000029754.7	0.0	0.0	0.0176295	0.0	ENSMUSG00000029754	ENSMUSG00000029754	6863334	6868568	Dlx6	6
ENSMUSG00000029755.9	0.0	0.0	0.0	0.0	ENSMUSG00000029755	ENSMUSG00000029755	6877805	6882085	Dlx5	6
ENSMUSG00000029757.10	0.0	0.0	0.0	0.0	ENSMUSG00000029757	ENSMUSG00000029757	5725639	6028039	Dync1i1	6
ENSMUSG00000029759.2	24.0199	27.291999999999998	15.6085	17.566	ENSMUSG00000029759	ENSMUSG00000029759	5220852	5256286	Pon3	6
ENSMUSG00000029761.9	126.04799999999999	124.12299999999999	109.80799999999999	140.114	ENSMUSG00000029761	ENSMUSG00000029761	34598500	34775473	Cald1	6
ENSMUSG00000029762.6	6.80128	7.00563	6.625360000000001	7.40228	ENSMUSG00000029762	ENSMUSG00000029762	34354119	34368463	Akr1b8	6
ENSMUSG00000029763.11	121.55799999999999	135.11700000000002	127.645	120.86399999999999	ENSMUSG00000029763	ENSMUSG00000029763	33249085	33973979	Exoc4	6
ENSMUSG00000029765.9	0.00269721	0.00299892	0.0	0.00315967	ENSMUSG00000029765	ENSMUSG00000029765	32144268	32588192	Plxna4	6
ENSMUSG00000029766.4	0.0	0.0	0.0	0.0	ENSMUSG00000029766	ENSMUSG00000029766	32050246	32058921	1700012A03Rik	6
ENSMUSG00000029767.10	281.207	278.593	371.983	333.645	ENSMUSG00000029767	ENSMUSG00000029767	29348069	29377110	Calu	6
